Date_time,Xaml_Name,Status,UserName,LogSource,Comments
21/12/2023 15:42:31 PM,InIt,Working,,Log,Process started
21/12/2023 15:44:01 PM,InIt,Working,,Log,Process started
21/12/2023 15:44:09 PM,Process,Working,,Log,Process started
21/12/2023 15:47:18 PM,InIt,Working,,Log,Process started
21/12/2023 15:47:27 PM,Process,Working,,Log,Process started
21/12/2023 15:49:25 PM,InIt,Working,,Log,Process started
21/12/2023 15:49:33 PM,Process,Working,,Log,Process started
21/12/2023 15:56:09 PM,Process,completed,,Log,Process completed
21/12/2023 16:11:39 PM,InIt,Working,,Log,Process started
21/12/2023 16:11:47 PM,Process,Working,,Log,Process started
21/12/2023 22:03:27 PM,InIt,Working,,Log,Process started
21/12/2023 22:03:37 PM,Process,Working,,Log,Process started
21/12/2023 22:06:58 PM,InIt,Working,,Log,Process started
21/12/2023 22:07:08 PM,Process,Working,,Log,Process started
21/12/2023 22:09:27 PM,InIt,Working,,Log,Process started
21/12/2023 22:09:37 PM,Process,Working,,Log,Process started
21/12/2023 22:11:18 PM,InIt,Working,,Log,Process started
21/12/2023 22:11:28 PM,Process,Working,,Log,Process started
21/12/2023 22:12:37 PM,InIt,Working,,Log,Process started
21/12/2023 22:12:47 PM,Process,Working,,Log,Process started
21/12/2023 22:14:04 PM,InIt,Working,,Log,Process started
21/12/2023 22:14:14 PM,Process,Working,,Log,Process started
21/12/2023 22:17:03 PM,InIt,Working,,Log,Process started
21/12/2023 22:17:13 PM,Process,Working,,Log,Process started
21/12/2023 22:18:05 PM,InIt,Working,,Log,Process started
21/12/2023 22:18:15 PM,Process,Working,,Log,Process started
21/12/2023 22:19:33 PM,InIt,Working,,Log,Process started
21/12/2023 22:19:42 PM,Process,Working,,Log,Process started
21/12/2023 22:27:38 PM,InIt,Working,,Log,Process started
21/12/2023 22:27:46 PM,Process,Working,,Log,Process started
21/12/2023 22:36:20 PM,InIt,Working,,Log,Process started
21/12/2023 22:36:28 PM,Process,Working,,Log,Process started
21/12/2023 22:38:17 PM,InIt,Working,,Log,Process started
21/12/2023 22:38:26 PM,Process,Working,,Log,Process started
21/12/2023 22:41:48 PM,InIt,Working,,Log,Process started
21/12/2023 22:41:56 PM,Process,Working,,Log,Process started
21/12/2023 22:43:35 PM,InIt,Working,,Log,Process started
21/12/2023 22:43:43 PM,Process,Working,,Log,Process started
21/12/2023 22:50:24 PM,InIt,Working,,Log,Process started
21/12/2023 22:50:37 PM,Process,Working,,Log,Process started
21/12/2023 22:53:25 PM,InIt,Working,,Log,Process started
21/12/2023 22:53:34 PM,Process,Working,,Log,Process started
21/12/2023 22:55:23 PM,InIt,Working,,Log,Process started
21/12/2023 22:55:37 PM,Process,Working,,Log,Process started
21/12/2023 23:00:29 PM,InIt,Working,,Log,Process started
21/12/2023 23:00:38 PM,Process,Working,,Log,Process started
21/12/2023 23:02:37 PM,InIt,Working,,Log,Process started
21/12/2023 23:02:46 PM,Process,Working,,Log,Process started
21/12/2023 23:03:57 PM,InIt,Working,,Log,Process started
21/12/2023 23:04:06 PM,Process,Working,,Log,Process started
21/12/2023 23:12:03 PM,InIt,Working,,Log,Process started
21/12/2023 23:12:11 PM,Process,Working,,Log,Process started
21/12/2023 23:14:25 PM,InIt,Working,,Log,Process started
21/12/2023 23:14:33 PM,Process,Working,,Log,Process started
21/12/2023 23:28:38 PM,InIt,Working,,Log,Process started
21/12/2023 23:28:44 PM,Process,Working,,Log,Process started
21/12/2023 23:32:32 PM,InIt,Working,,Log,Process started
21/12/2023 23:32:40 PM,Process,Working,,Log,Process started
21/12/2023 23:36:42 PM,InIt,Working,,Log,Process started
21/12/2023 23:36:49 PM,Process,Working,,Log,Process started
